bagging Acc,randFrst10 Acc,randFrst50 Acc,randFrst100 Acc,randFrst150 Acc,randFrst200 Acc,randFrst250 Acc,randFrst300 Acc,randFrst350 Acc,randFrst400 Acc,randFrst450 Acc,randFrst500 Acc,randFrst550 Acc,randFrst600 Acc,randFrst650 Acc,randFrst700 Acc,randFrst750 Acc,randFrst800 Acc,randFrst850 Acc,randFrst900 Acc,randFrst950 Acc
0.954978355,0.966233766,0.96969697,0.973160173,0.974891775,0.973160173,0.976623377,0.974891775,0.975757576,0.974891775,0.974025974,0.974891775,0.974891775,0.975757576,0.974891775,0.973160173,0.974891775,0.974025974,0.974025974,0.973160173,0.973160173
0.897727273,0.920454545,0.931818182,0.9375,0.943181818,0.931818182,0.931818182,0.9375,0.926136364,0.926136364,0.931818182,0.931818182,0.9375,0.931818182,0.931818182,0.931818182,0.931818182,0.931818182,0.931818182,0.9375,0.931818182
0.92,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333,0.973333333
0.644444444,0.65,0.711111111,0.722222222,0.733333333,0.722222222,0.711111111,0.733333333,0.716666667,0.722222222,0.727777778,0.727777778,0.705555556,0.722222222,0.727777778,0.727777778,0.733333333,0.733333333,0.738888889,0.738888889,0.733333333
0.93134116,0.959800783,0.976165066,0.978299538,0.980434009,0.979722519,0.980078264,0.980078264,0.980789755,0.980434009,0.980434009,0.980789755,0.981501245,0.981501245,0.9811455,0.9811455,0.9811455,0.981501245,0.981501245,0.98185699,0.98185699
0.970843184,0.97320725,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184,0.970843184
0.968590212,0.972607743,0.975164354,0.974068663,0.975894814,0.975894814,0.975894814,0.975894814,0.974433893,0.975164354,0.974799123,0.975164354,0.975164354,0.975164354,0.975164354,0.975529584,0.975164354,0.975164354,0.974799123,0.974799123,0.974799123
0.897959184,0.918367347,0.867346939,0.87755102,0.87755102,0.87755102,0.867346939,0.87755102,0.867346939,0.867346939,0.867346939,0.87755102,0.867346939,0.867346939,0.87755102,0.87755102,0.87755102,0.87755102,0.87755102,0.87755102,0.87755102
0.692307692,0.648351648,0.626373626,0.637362637,0.648351648,0.637362637,0.659340659,0.648351648,0.637362637,0.648351648,0.648351648,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.637362637,0.648351648,0.637362637
0.711111111,0.711111111,0.622222222,0.666666667,0.644444444,0.644444444,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.644444444,0.644444444,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
0.942972973,0.941081081,0.954864865,0.954864865,0.957837838,0.957837838,0.959189189,0.958108108,0.956486486,0.957027027,0.956486486,0.957297297,0.957027027,0.956216216,0.957297297,0.957567568,0.957567568,0.957297297,0.957567568,0.957567568,0.957837838
